SM1,SM2,SM3,SM4,SM5,SEO1,SEO2,SEO3,SEO4,SEO5,EM1,EM2,EM3,EM4,EM5,CM1,CM2,CM3,CM4,CM5,OA1,OA2,OA3,OA4,OA5,BD1,BD2,BD3,BD4,BD5,BD6
5,5,3,1,1,3,4,4,5,5,1,1,1,2,3,2,2,4,5,1,3,2,2,2,1,5,5,1,3,3,2
4,4,4,4,4,5,5,5,5,5,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
4,4,1,1,1,2,4,4,3,1,1,1,1,1,1,3,2,3,2,3,2,2,3,3,3,4,4,1,2,1,2
4,5,2,4,5,2,5,3,5,4,5,5,5,5,5,5,5,5,5,5,3,3,5,3,3,3,5,1,5,5,2
5,4,5,5,5,4,4,4,3,5,5,4,5,3,5,4,4,3,3,4,4,4,3,3,4,3,5,5,3,2,3
4,5,4,4,5,5,5,5,5,3,1,1,1,1,1,3,4,4,5,4,5,5,5,5,4,5,5,3,4,5,1
5,5,2,2,2,5,5,3,5,3,2,2,2,3,4,5,5,2,2,2,3,3,5,4,4,5,5,1,4,4,1
1,2,3,3,4,1,2,1,1,1,2,3,1,1,2,2,2,1,2,3,1,2,1,2,2,3,2,2,2,1,1
5,5,5,4,4,5,4,5,4,4,4,5,4,5,5,4,4,4,4,4,5,4,4,4,4,4,5,5,5,4,4
4,4,2,3,3,3,4,4,4,4,1,1,1,1,1,5,4,4,3,3,2,2,2,2,2,4,5,2,4,4,2
5,5,3,3,3,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,3,3,3,3,3,3,5,3,5,3,3
4,4,2,3,3,3,4,4,5,5,3,4,4,3,3,5,5,4,4,4,3,4,4,4,4,4,4,4,4,4,4
4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
4,4,4,4,4,4,4,3,5,4,2,2,2,2,2,5,4,4,4,4,4,3,4,4,4,4,4,4,3,4,3
5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,4,4,4,4,5,5,5,5,5,5
4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
5,5,4,4,5,5,4,3,3,2,3,2,1,2,2,4,4,5,4,5,5,4,5,4,5,4,2,4,1,4,3
5,3,3,3,4,4,4,5,5,5,4,4,4,4,3,5,5,5,5,5,5,4,5,5,5,5,5,2,5,5,5
4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,3
5,5,4,3,3,4,4,1,4,3,1,1,3,1,1,5,5,5,4,4,2,5,3,1,1,5,5,5,4,4,2
4,4,3,4,4,4,4,4,4,4,4,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
5,4,4,4,4,3,5,5,5,4,2,2,2,2,4,5,5,5,4,5,5,4,4,4,5,5,4,3,5,5,3
5,3,2,2,1,1,2,5,5,3,1,1,1,1,1,5,5,5,3,5,1,1,1,1,1,5,5,1,1,5,1
4,4,3,3,3,5,5,5,5,5,2,1,1,1,1,5,5,5,4,4,3,3,3,3,2,5,5,3,4,5,5
